stem,source,split,has_debris
E3_H11833_TGT011_0004,f6,train,1
E3_H11833_TGT002_0013,f6,train,1
E4_TGT015_1_01,f6,train,1
E4_TGT011_1_06,f6,train,1
E4_TGT003_1_01,f6,train,1
E4_TGT011_1_08,f6,train,1
H11833_000114,f6,train,1
H11833_000048,f6,train,1
E4_TGT006_1_06,f6,train,1
E4_TGT009_2_07,f6,train,1
E4_TGT003_1_06,f6,train,1
E4_TGT007_1_02,f6,train,1
H11833_000049,f6,train,1
E4_TGT003_2_03,f6,train,1
E4_TGT003_2_07,f6,train,1
E3_H11833_TGT011_0010,f6,train,1
E4_TGT003_1_08,f6,train,1
H11833_000051,f6,train,1
E4_TGT013_2_07,f6,train,1
E4_TGT015_2_04,f6,train,1
E4_TGT009_2_03,f6,train,1
E3_H11833_TGT009_0005,f6,train,1
H11833_000089,f6,train,1
H11833_000056,f6,train,1
E3_H11833_TGT011_0017,f6,train,1
E4_TGT003_2_06,f6,train,1
E4_TGT005_1_08,f6,train,1
E3_H11833_TGT003_0017,f6,train,1
E4_TGT015_1_05,f6,train,1
E3_H11833_TGT012_0008,f6,train,1
E4_TGT007_1_04,f6,train,1
E3_H11833_TGT010_0016,f6,train,1
E4_TGT005_2_03,f6,train,1
E4_TGT012_2_09,f6,train,1
E3_H11833_TGT016_0011,f6,train,1
E3_H11833_TGT009_0003,f6,train,1
E4_TGT003_2_08,f6,train,1
E3_H11833_TGT011_0014,f6,train,1
E3_H11833_TGT014_0007,f6,train,1
E4_TGT013_1_05,f6,train,1
E4_TGT009_2_08,f6,train,1
E3_H11833_TGT004_0017,f6,train,1
E3_H11833_TGT005_0006,f6,train,1
E4_TGT003_1_02,f6,train,1
H11833_000016,f6,train,1
E3_H11833_TGT005_0009,f6,train,1
H11833_000004,f6,train,1
E3_H11833_TGT005_0004,f6,train,1
E4_TGT015_1_04,f6,train,1
E3_H11833_TGT004_0009,f6,train,1
E4_TGT007_2_09,f6,train,1
E4_TGT016_1_07,f6,train,1
E3_H11833_TGT009_0008,f6,train,1
E4_TGT005_2_04,f6,train,1
E3_H11833_TGT007_0008,f6,train,1
E4_TGT005_2_02,f6,train,1
E3_H11833_TGT003_0008,f6,train,1
E4_TGT006_2_04,f6,train,1
E3_H11833_TGT001_0005,f6,train,1
E3_H11833_TGT013_0007,f6,train,1
E4_TGT012_2_08,f6,train,1
H11833_000040,f6,train,1
E4_TGT007_1_06,f6,train,1
E3_H11833_TGT001_0018,f6,train,1
E4_TGT008_2_05,f6,train,1
E3_H11833_TGT017_0015,f6,train,1
H11833_000109,f6,train,1
E4_TGT014_2_05,f6,train,1
E4_TGT001_2_02,f6,train,1
E3_H11833_TGT003_0002,f6,train,1
E4_TGT002_1_01,f6,train,1
E3_H11833_TGT013_0008,f6,train,1
E3_H11833_TGT002_0015,f6,train,1
E3_H11833_TGT014_0008,f6,train,1
E4_TGT001_2_04,f6,train,1
E4_TGT013_2_04,f6,train,1
E3_H11833_TGT002_0012,f6,train,1
E3_H11833_TGT008_0007,f6,train,1
H11833_000092,f6,train,1
H11833_000103,f6,train,1
E3_H11833_TGT004_0018,f6,train,1
E4_TGT003_1_09,f6,train,1
E3_H11833_TGT016_0018,f6,train,1
E3_H11833_TGT005_0007,f6,train,1
H11833_000095,f6,train,1
E3_H11833_TGT012_0014,f6,train,1
H11833_000068,f6,train,1
E3_H11833_TGT011_0009,f6,train,1
E4_TGT016_1_05,f6,train,1
E4_TGT017_1_01,f6,train,1
H11833_000087,f6,train,1
E4_TGT016_1_09,f6,train,1
E4_TGT005_1_01,f6,train,1
E3_H11833_TGT014_0017,f6,train,1
E3_H11833_TGT002_0010,f6,train,1
H11833_000064,f6,train,1
E3_H11833_TGT001_0006,f6,train,1
E3_H11833_TGT009_0002,f6,train,1
E3_H11833_TGT003_0011,f6,train,1
E3_H11833_TGT001_0001,f6,train,1
H11833_000024,f6,train,1
E4_TGT012_2_03,f6,train,1
E3_H11833_TGT014_0012,f6,train,1
E3_H11833_TGT010_0004,f6,train,1
H11833_000073,f6,train,1
E4_TGT008_2_03,f6,train,1
E4_TGT014_1_03,f6,train,1
H11833_000023,f6,train,1
H11833_000061,f6,train,1
E4_TGT006_2_05,f6,train,1
E3_H11833_TGT006_0010,f6,train,1
E3_H11833_TGT008_0001,f6,train,1
E4_TGT003_1_07,f6,train,1
H11833_000080,f6,train,1
E3_H11833_TGT003_0012,f6,train,1
H11833_000075,f6,train,1
E4_TGT012_2_04,f6,train,1
E4_TGT011_2_06,f6,train,1
E3_H11833_TGT014_0010,f6,train,1
E3_H11833_TGT004_0007,f6,train,1
E3_H11833_TGT011_0006,f6,train,1
E4_TGT006_1_09,f6,train,1
E4_TGT001_2_09,f6,train,1
E3_H11833_TGT015_0004,f6,train,1
E4_TGT004_2_05,f6,train,1
E3_H11833_TGT016_0012,f6,train,1
H11833_000118,f6,train,1
E3_H11833_TGT013_0003,f6,train,1
E4_TGT002_1_05,f6,train,1
E3_H11833_TGT014_0009,f6,train,1
E4_TGT011_1_01,f6,train,1
E4_TGT010_1_01,f6,train,1
E3_H11833_TGT014_0005,f6,train,1
H11833_000070,f6,train,1
H11833_000027,f6,train,1
E3_H11833_TGT008_0002,f6,train,1
H11833_000105,f6,train,1
E3_H11833_TGT007_0017,f6,train,1
E3_H11833_TGT001_0003,f6,train,1
E4_TGT015_2_08,f6,train,1
E4_TGT017_1_09,f6,train,1
E4_TGT017_1_07,f6,train,1
E4_TGT007_1_07,f6,train,1
E4_TGT002_2_02,f6,train,1
E4_TGT006_2_09,f6,train,1
E3_H11833_TGT010_0002,f6,train,1
E4_TGT001_2_07,f6,train,1
E4_TGT010_2_06,f6,train,1
H11833_000086,f6,train,1
H11833_000082,f6,train,1
E4_TGT012_1_04,f6,train,1
H11833_000043,f6,train,1
E3_H11833_TGT003_0005,f6,train,1
H11833_000090,f6,train,1
E3_H11833_TGT001_0009,f6,train,1
E3_H11833_TGT003_0013,f6,train,1
H11833_000093,f6,train,1
H11833_000059,f6,train,1
E4_TGT011_2_07,f6,train,1
E3_H11833_TGT011_0007,f6,train,1
E3_H11833_TGT013_0018,f6,train,1
E3_H11833_TGT006_0018,f6,train,1
H11833_000014,f6,train,1
H11833_000044,f6,train,1
H11833_000096,f6,train,1
E3_H11833_TGT017_0012,f6,train,1
E4_TGT012_1_08,f6,train,1
H11833_000055,f6,train,1
E3_H11833_TGT006_0006,f6,train,1
E3_H11833_TGT001_0007,f6,train,1
E3_H11833_TGT012_0011,f6,train,1
E3_H11833_TGT010_0010,f6,train,1
E4_TGT013_2_09,f6,train,1
H11833_000108,f6,train,1
E4_TGT005_1_03,f6,train,1
E4_TGT005_2_05,f6,train,1
E3_H11833_TGT010_0003,f6,train,1
E3_H11833_TGT012_0010,f6,train,1
E3_H11833_TGT016_0016,f6,train,1
H11833_000094,f6,train,1
E4_TGT013_1_08,f6,train,1
E3_H11833_TGT011_0012,f6,train,1
E4_TGT013_2_03,f6,train,1
E4_TGT005_1_04,f6,train,1
E3_H11833_TGT007_0010,f6,train,1
E4_TGT014_2_07,f6,train,1
E4_TGT010_1_08,f6,train,1
E4_TGT010_1_05,f6,train,1
E3_H11833_TGT007_0012,f6,train,1
E3_H11833_TGT013_0016,f6,train,1
H11833_000031,f6,train,1
E4_TGT004_2_01,f6,train,1
E3_H11833_TGT003_0003,f6,train,1
E3_H11833_TGT008_0005,f6,train,1
E3_H11833_TGT014_0006,f6,train,1
E3_H11833_TGT009_0006,f6,train,1
H11833_000099,f6,train,1
E3_H11833_TGT014_0003,f6,train,1
E3_H11833_TGT011_0005,f6,train,1
E4_TGT010_2_09,f6,train,1
E4_TGT015_2_06,f6,train,1
E4_TGT015_1_08,f6,train,1
E4_TGT013_2_02,f6,train,1
H11833_000002,f6,train,1
E3_H11833_TGT008_0009,f6,train,1
E4_TGT011_2_05,f6,train,1
E4_TGT017_2_01,f6,train,1
H11833_000010,f6,train,1
E4_TGT017_1_08,f6,train,1
E4_TGT006_2_03,f6,train,1
E4_TGT005_2_08,f6,train,1
E4_TGT014_2_02,f6,train,1
E4_TGT001_1_01,f6,train,1
E4_TGT017_2_02,f6,train,1
H11833_000018,f6,train,1
E4_TGT004_2_07,f6,train,1
E3_H11833_TGT016_0006,f6,train,1
E4_TGT004_1_05,f6,train,1
E3_H11833_TGT006_0017,f6,train,1
E3_H11833_TGT001_0016,f6,train,1
E4_TGT006_1_05,f6,train,1
E3_H11833_TGT002_0017,f6,train,1
E4_TGT012_1_09,f6,train,1
E3_H11833_TGT016_0008,f6,train,1
E4_TGT005_2_06,f6,train,1
E4_TGT010_1_04,f6,train,1
H11833_000106,f6,train,1
E3_H11833_TGT009_0004,f6,train,1
H11833_000039,f6,train,1
E3_H11833_TGT014_0013,f6,train,1
E4_TGT013_1_02,f6,train,1
E3_H11833_TGT001_0002,f6,train,1
E3_H11833_TGT004_0008,f6,train,1
E4_TGT016_2_08,f6,train,1
E3_H11833_TGT006_0016,f6,train,1
H11833_000116,f6,train,1
E3_H11833_TGT006_0002,f6,train,1
E4_TGT003_2_09,f6,train,1
H11833_000074,f6,train,1
E4_TGT003_2_02,f6,train,1
H11833_000037,f6,train,1
E4_TGT004_1_09,f6,train,1
E4_TGT010_1_03,f6,train,1
E4_TGT004_1_01,f6,train,1
H11833_000003,f6,train,1
E3_H11833_TGT012_0018,f6,train,1
H11833_000065,f6,train,1
E3_H11833_TGT003_0001,f6,train,1
E4_TGT017_1_06,f6,train,1
E4_TGT008_2_02,f6,train,1
H11833_000083,f6,train,1
E3_H11833_TGT002_0006,f6,train,1
H11833_000107,f6,train,1
E3_H11833_TGT003_0018,f6,train,1
E3_H11833_TGT015_0016,f6,train,1
E4_TGT012_2_06,f6,train,1
E4_TGT012_1_03,f6,train,1
E3_H11833_TGT017_0006,f6,train,1
E3_H11833_TGT004_0013,f6,train,1
E3_H11833_TGT013_0001,f6,train,1
H11833_000072,f6,train,1
E3_H11833_TGT007_0005,f6,train,1
H11833_000102,f6,train,1
H11833_000100,f6,train,1
H11833_000005,f6,train,1
E4_TGT006_1_02,f6,train,1
E3_H11833_TGT006_0005,f6,train,1
E3_H11833_TGT016_0001,f6,train,1
E4_TGT014_1_09,f6,train,1
E4_TGT015_2_02,f6,train,1
E4_TGT016_1_02,f6,train,1
E4_TGT002_1_04,f6,train,1
E4_TGT013_1_03,f6,train,1
E4_TGT001_1_07,f6,train,1
E4_TGT013_1_04,f6,train,1
E4_TGT010_2_01,f6,train,1
E4_TGT010_2_02,f6,train,1
E4_TGT006_1_03,f6,train,1
E4_TGT017_1_02,f6,train,1
E4_TGT011_2_01,f6,train,1
E3_H11833_TGT011_0018,f6,train,1
E4_TGT013_1_01,f6,train,1
E3_H11833_TGT007_0013,f6,train,1
E4_TGT005_1_07,f6,train,1
H11833_000007,f6,train,1
E4_TGT015_2_01,f6,train,1
E4_TGT006_1_07,f6,train,1
E4_TGT007_1_05,f6,train,1
E3_H11833_TGT004_0001,f6,train,1
E3_H11833_TGT017_0017,f6,train,1
E4_TGT009_2_05,f6,train,1
E3_H11833_TGT014_0018,f6,train,1
H11833_000019,f6,train,1
H11833_000006,f6,train,1
E3_H11833_TGT013_0013,f6,train,1
E4_TGT004_2_06,f6,train,1
E4_TGT002_2_09,f6,train,1
E3_H11833_TGT002_0016,f6,train,1
E4_TGT010_1_02,f6,train,1
E4_TGT003_2_04,f6,train,1
E3_H11833_TGT006_0001,f6,train,1
E4_TGT012_2_07,f6,train,1
E4_TGT001_2_08,f6,train,1
E3_H11833_TGT004_0012,f6,train,1
E4_TGT001_2_03,f6,train,1
E4_TGT014_2_03,f6,train,1
E3_H11833_TGT007_0016,f6,train,1
E3_H11833_TGT007_0015,f6,train,1
E4_TGT013_2_08,f6,train,1
H11833_000012,f6,train,1
E3_H11833_TGT006_0012,f6,train,1
E3_H11833_TGT012_0005,f6,train,1
E4_TGT017_2_04,f6,train,1
E3_H11833_TGT015_0013,f6,train,1
E3_H11833_TGT001_0012,f6,train,1
E4_TGT016_2_04,f6,train,1
E4_TGT015_1_07,f6,train,1
H11833_000045,f6,train,1
E4_TGT012_2_02,f6,train,1
H11833_000077,f6,train,1
E4_TGT011_2_02,f6,train,1
E3_H11833_TGT013_0009,f6,train,1
H11833_000117,f6,train,1
E3_H11833_TGT006_0008,f6,train,1
E4_TGT011_2_09,f6,train,1
E3_H11833_TGT003_0016,f6,train,1
H11833_000066,f6,train,1
E3_H11833_TGT012_0006,f6,train,1
E4_TGT009_2_01,f6,train,1
E3_H11833_TGT013_0002,f6,train,1
H11833_000182,f6,train,0
H11833_000172,f6,train,0
E4_BG_0293,f6,train,0
E4_BG_0274,f6,train,0
E4_BG_0165,f6,train,0
E4_BG_0129,f6,train,0
E4_BG_0267,f6,train,0
E4_BG_0142,f6,train,0
E4_BG_0035,f6,train,0
E4_BG_0130,f6,train,0
E4_BG_0262,f6,train,0
E3_H11833_BG_0081,f6,train,0
E4_BG_0284,f6,train,0
H11833_000192,f6,train,0
E4_BG_0398,f6,train,0
E4_BG_0271,f6,train,0
H11833_000214,f6,train,0
E3_H11833_BG_0005,f6,train,0
E3_H11833_BG_0007,f6,train,0
E4_BG_0244,f6,train,0
E4_BG_0077,f6,train,0
E4_BG_0435,f6,train,0
E4_BG_0051,f6,train,0
E4_BG_0167,f6,train,0
E4_BG_0411,f6,train,0
E4_BG_0015,f6,train,0
E3_H11833_BG_0060,f6,train,0
E4_BG_0268,f6,train,0
E4_BG_0201,f6,train,0
H11833_000258,f6,train,0
E4_BG_0348,f6,train,0
H11833_000259,f6,train,0
E4_BG_0216,f6,train,0
E4_BG_0119,f6,train,0
H11833_000262,f6,train,0
E4_BG_0306,f6,train,0
E3_H11833_BG_0013,f6,train,0
E3_H11833_BG_0064,f6,train,0
E4_BG_0071,f6,train,0
E4_BG_0213,f6,train,0
E4_BG_0280,f6,train,0
H11833_000231,f6,train,0
E4_BG_0298,f6,train,0
H11833_000264,f6,train,0
E4_BG_0114,f6,train,0
H11833_000236,f6,train,0
E4_BG_0368,f6,train,0
E4_BG_0419,f6,train,0
E4_BG_0363,f6,train,0
E4_BG_0048,f6,train,0
E4_BG_0320,f6,train,0
E4_BG_0066,f6,train,0
E4_BG_0075,f6,train,0
E4_BG_0171,f6,train,0
E4_BG_0123,f6,train,0
H11833_000251,f6,train,0
E4_BG_0417,f6,train,0
H11833_000133,f6,train,0
E4_BG_0202,f6,train,0
H11833_000247,f6,train,0
E4_BG_0378,f6,train,0
H11833_000187,f6,train,0
E4_BG_0410,f6,train,0
E4_BG_0443,f6,train,0
E4_BG_0016,f6,train,0
E3_H11833_BG_0036,f6,train,0
E4_BG_0290,f6,train,0
E3_H11833_BG_0080,f6,train,0
E4_BG_0338,f6,train,0
E4_BG_0431,f6,train,0
E4_BG_0352,f6,train,0
H11833_000260,f6,train,0
E4_BG_0269,f6,train,0
E4_BG_0140,f6,train,0
E4_BG_0014,f6,train,0
E4_BG_0185,f6,train,0
E4_BG_0052,f6,train,0
H11833_000272,f6,train,0
E3_H11833_BG_0072,f6,train,0
H11833_000189,f6,train,0
H11833_000275,f6,train,0
E4_BG_0058,f6,train,0
E4_BG_0049,f6,train,0
E3_H11833_BG_0062,f6,train,0
E4_BG_0203,f6,train,0
E4_BG_0418,f6,train,0
E4_BG_0234,f6,train,0
E3_H11833_BG_0065,f6,train,0
E4_BG_0106,f6,train,0
E4_BG_0361,f6,train,0
E4_BG_0416,f6,train,0
E3_H11833_BG_0073,f6,train,0
E4_BG_0310,f6,train,0
E4_BG_0360,f6,train,0
E4_BG_0287,f6,train,0
E4_BG_0138,f6,train,0
E4_BG_0359,f6,train,0
E4_BG_0324,f6,train,0
E4_BG_0399,f6,train,0
H11833_000223,f6,train,0
E4_BG_0007,f6,train,0
E3_H11833_BG_0048,f6,train,0
E4_BG_0387,f6,train,0
H11833_000134,f6,train,0
E4_BG_0296,f6,train,0
E4_BG_0263,f6,train,0
E4_BG_0166,f6,train,0
E4_BG_0062,f6,train,0
H11833_000212,f6,train,0
E3_H11833_BG_0052,f6,train,0
H11833_000137,f6,train,0
E4_BG_0344,f6,train,0
E4_BG_0426,f6,train,0
E4_BG_0321,f6,train,0
E4_BG_0092,f6,train,0
H11833_000216,f6,train,0
E4_BG_0031,f6,train,0
H11833_000232,f6,train,0
E4_BG_0160,f6,train,0
E4_BG_0178,f6,train,0
H11833_000175,f6,train,0
E3_H11833_BG_0061,f6,train,0
H11833_000215,f6,train,0
H11833_000252,f6,train,0
E4_BG_0099,f6,train,0
E3_H11833_BG_0002,f6,train,0
H11833_000129,f6,train,0
E4_BG_0044,f6,train,0
E4_BG_0174,f6,train,0
E4_BG_0318,f6,train,0
E4_BG_0018,f6,train,0
H11833_000165,f6,train,0
E4_BG_0091,f6,train,0
E4_BG_0028,f6,train,0
E4_BG_0301,f6,train,0
E4_BG_0155,f6,train,0
H11833_000276,f6,train,0
E3_H11833_BG_0029,f6,train,0
E4_BG_0278,f6,train,0
E3_H11833_BG_0032,f6,train,0
E4_BG_0207,f6,train,0
E4_BG_0191,f6,train,0
E4_BG_0004,f6,train,0
E4_BG_0126,f6,train,0
E4_BG_0422,f6,train,0
E4_BG_0005,f6,train,0
E4_BG_0433,f6,train,0
H11833_000235,f6,train,0
E4_BG_0200,f6,train,0
H11833_000169,f6,train,0
E4_BG_0172,f6,train,0
E4_BG_0070,f6,train,0
E3_H11833_BG_0049,f6,train,0
E3_H11833_BG_0023,f6,train,0
E4_BG_0279,f6,train,0
E4_BG_0177,f6,train,0
E4_BG_0370,f6,train,0
E4_BG_0205,f6,train,0
E4_BG_0308,f6,train,0
H11833_000278,f6,train,0
E4_BG_0403,f6,train,0
E4_BG_0164,f6,train,0
E4_BG_0149,f6,train,0
E4_BG_0084,f6,train,0
H11833_000174,f6,train,0
E4_BG_0241,f6,train,0
E4_BG_0406,f6,train,0
E4_BG_0159,f6,train,0
E4_BG_0148,f6,train,0
E4_BG_0447,f6,train,0
E4_BG_0021,f6,train,0
E4_BG_0060,f6,train,0
E3_H11833_BG_0085,f6,train,0
E4_BG_0228,f6,train,0
E3_H11833_BG_0045,f6,train,0
E3_H11833_BG_0066,f6,train,0
H11833_000161,f6,train,0
E4_BG_0081,f6,train,0
E4_BG_0133,f6,train,0
E4_BG_0401,f6,train,0
E4_BG_0425,f6,train,0
E4_BG_0319,f6,train,0
E4_BG_0327,f6,train,0
E4_BG_0036,f6,train,0
H11833_000263,f6,train,0
H11833_000243,f6,train,0
H11833_000130,f6,train,0
E4_BG_0144,f6,train,0
E4_BG_0170,f6,train,0
E4_BG_0313,f6,train,0
E4_BG_0209,f6,train,0
E4_BG_0193,f6,train,0
E3_H11833_BG_0010,f6,train,0
E4_BG_0011,f6,train,0
E4_BG_0294,f6,train,0
E4_BG_0024,f6,train,0
